,Year,Model,Cluster,Features
0,2006,NMF,0.0,google site users search web video service like people yahoo
1,2006,NMF,1.0,million company venture capital raised round partners ventures funding said
2,2006,NMF,2.0,story digg posted valley mercury news venturebeat silicon money couple
3,2006,NMF,3.0,phone ipod mobile like apple new zune camera music usb
4,2006,NMF,4.0,wii nintendo games console game playstation sony controller xbox play
5,2006,LDA,0.0,like new phone ll ipod mobile don games apple sony
6,2006,LDA,1.0,google search yahoo new site web like users com page
7,2006,LDA,2.0,site video people youtube social like company users new news
8,2006,LDA,3.0,service users video mobile music free web use services online
9,2006,LDA,4.0,company million venture companies capital said raised round year partners
10,2006,NMF,0.0,google site users search web service video like people new
11,2006,NMF,1.0,million company venture capital raised round partners ventures funding said
12,2006,NMF,2.0,story digg posted valley mercury news venturebeat silicon money couple
13,2006,NMF,3.0,phone mobile phones cingular bluetooth camera samsung skype nokia cell
14,2006,NMF,4.0,ipod zune apple music like player usb video ll drive
15,2006,NMF,5.0,wii nintendo console games game playstation controller ds play sony
16,2006,LDA,0.0,like phone new ll don games mobile time product wii
17,2006,LDA,1.0,users like site people service new web online company time
18,2006,LDA,2.0,video site youtube content digg videos sites users news social
19,2006,LDA,3.0,google search yahoo web new com users service skype product
20,2006,LDA,4.0,music mobile apple service tv media new player like zune
21,2006,LDA,5.0,company million venture companies said capital raised year round valley
22,2006,NMF,0.0,site users web service like new video people company content
23,2006,NMF,1.0,million company venture capital raised round partners ventures said funding
24,2006,NMF,2.0,story digg posted valley news mercury venturebeat silicon money couple
25,2006,NMF,3.0,phone mobile phones cingular camera bluetooth samsung nokia skype cell
26,2006,NMF,4.0,ipod zune apple music player usb like drive video sony
27,2006,NMF,5.0,wii nintendo console games game playstation controller ds sony play
28,2006,NMF,6.0,google search yahoo youtube microsoft results engine deal blog click
29,2006,LDA,0.0,phone mobile like ll new don time know camera phones
30,2006,LDA,1.0,games game wii like windows new storage nintendo files microsoft
31,2006,LDA,2.0,video site youtube news digg blog story content people new
32,2006,LDA,3.0,search google web service users new like use site based
33,2006,LDA,4.0,music ipod apple tv video player zune new digital xbox
34,2006,LDA,5.0,google yahoo company users site people online like myspace new
35,2006,LDA,6.0,company million venture capital raised companies said round valley partners
36,2006,NMF,0.0,site users web service like new people company search social
37,2006,NMF,1.0,million company venture capital raised round partners ventures said funding
38,2006,NMF,2.0,story digg posted valley news mercury venturebeat silicon money couple
39,2006,NMF,3.0,phone mobile phones cingular camera bluetooth samsung nokia skype cell
40,2006,NMF,4.0,ipod zune apple music usb player like drive sony ll
41,2006,NMF,5.0,wii nintendo console games game playstation controller sony ds play
42,2006,NMF,6.0,google search yahoo microsoft youtube results engine click deal blog
43,2006,NMF,7.0,video youtube videos tv content media sharing music online player
44,2006,LDA,0.0,phone mobile like new ll don product time know camera
45,2006,LDA,1.0,service users new like web use free people email online
46,2006,LDA,2.0,video youtube games game wii videos nintendo sony gaming console
47,2006,LDA,3.0,google search site web sites ads click like page results
48,2006,LDA,4.0,music ipod apple tv player zune microsoft media new digital
49,2006,LDA,5.0,company yahoo site million companies people like google said social
50,2006,LDA,6.0,company million venture capital raised round said partners companies ventures
51,2006,LDA,7.0,blog digg news site rss new story oil post like
52,2006,NMF,0.0,site users web service people new like company search social
53,2006,NMF,1.0,million company venture capital raised round partners ventures said funding
54,2006,NMF,2.0,story digg posted valley news mercury venturebeat silicon money couple
55,2006,NMF,3.0,phone mobile phones cingular bluetooth camera skype samsung nokia cell
56,2006,NMF,4.0,sony usb like drive product ll new pc inch available
57,2006,NMF,5.0,wii nintendo console games game playstation controller ds play launch
