,Year,Cluster,Size,Features
0,2006,0.0,6076.0,"['company', 'site', 'users', 'video', 'service', 'phone', 'time', 'people', 'venture', 'product']"
1,2006,1.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
2,2006,0.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
3,2006,1.0,974.0,"['venture', 'company', 'capital', 'partners', 'round', 'ventures', 'companies', 'investors', 'firm', 'venture capital']"
4,2006,2.0,5102.0,"['site', 'users', 'video', 'phone', 'service', 'people', 'time', 'product', 'company', 'page']"
5,2006,0.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
6,2006,1.0,835.0,"['venture', 'capital', 'company', 'partners', 'round', 'ventures', 'firm', 'investors', 'companies', 'venture capital']"
7,2006,2.0,3525.0,"['phone', 're', 'you', 'product', 'apple', 'zune', 'time', 'ipod', 'video', 'camera']"
8,2006,3.0,1716.0,"['site', 'users', 'google', 'service', 'company', 'search', 'people', 'video', 'web', 'yahoo']"
9,2006,0.0,485.0,"['phone', 'phones', 'camera', 'smartphone', 'verizon', 'sprint', 'cell', 'samsung', 'mobile', 'skype']"
10,2006,1.0,796.0,"['venture', 'capital', 'company', 'partners', 'round', 'ventures', 'firm', 'fund', 'venture capital', 'investors']"
11,2006,2.0,1799.0,"['site', 'users', 'google', 'service', 'company', 'search', 'people', 'video', 'web', 'time']"
12,2006,3.0,2996.0,"['you', 're', 'zune', 'apple', 'product', 'ipod', 'video', 'time', 'player', 'product page']"
13,2006,4.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
14,2006,0.0,2912.0,"['zune', 'you', 're', 'apple', 'product', 'ipod', 'player', 'video', 'games', 'time']"
15,2006,1.0,293.0,"['google', 'search', 'results', 'engine', 'yahoo', 'search engine', 'video', 'company', 'blog', 'site']"
16,2006,2.0,1540.0,"['site', 'users', 'service', 'company', 'people', 'video', 'web', 'services', 'time', 'music']"
17,2006,3.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
18,2006,4.0,842.0,"['venture', 'company', 'capital', 'partners', 'ventures', 'round', 'companies', 'firm', 'fund', 'investors']"
19,2006,5.0,489.0,"['phone', 'camera', 'phones', 'smartphone', 'samsung', 'you', 'cell', 're', 'sprint', 'verizon']"
20,2006,0.0,416.0,"['phone', 'phones', 'camera', 'cell', 'samsung', 'skype', 'cell phone', 'call', 'you', 'smartphone']"
21,2006,1.0,1613.0,"['site', 'users', 'google', 'service', 'search', 'company', 'people', 'video', 'web', 'time']"
22,2006,2.0,3075.0,"['re', 'you', 'product', 'apple', 'video', 'ipod', 'time', 'product page', 'games', 'page']"
23,2006,3.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
24,2006,4.0,530.0,"['venture', 'capital', 'company', 'firm', 'companies', 'venture capital', 'fund', 'partners', 'valley', 'investors']"
25,2006,5.0,330.0,"['round', 'ventures', 'partners', 'company', 'funding', 'venture', 'capital', 'round funding', 'series', 'investors']"
26,2006,6.0,112.0,"['zune', 'music', 'ipod', 'player', 'marketplace', 'microsoft', 'apple', 'zunes', 'song', 'device']"
27,2006,0.0,511.0,"['phone', 'camera', 'phones', 'smartphone', 'sprint', 'samsung', 'verizon', 're', 'you', 'cell']"
28,2006,1.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
29,2006,2.0,306.0,"['google', 'search', 'results', 'engine', 'search engine', 'yahoo', 'site', 'company', 'blog', 'users']"
30,2006,3.0,385.0,"['games', 'wii', 'game', 'playstation', 'xbox', 'sony', 'controller', 'console', 'psp', 'consoles']"
31,2006,4.0,337.0,"['video', 'tv', 'youtube', 'videos', 'content', 'media', 'users', 'site', 'music', 'service']"
32,2006,5.0,1515.0,"['site', 'users', 'company', 'service', 'people', 'web', 'time', 'services', 'page', 'blog']"
33,2006,6.0,2236.0,"['zune', 'apple', 'ipod', 'product', 're', 'you', 'product page', 'music', 'player', 'drive']"
34,2006,7.0,786.0,"['venture', 'capital', 'company', 'partners', 'ventures', 'round', 'firm', 'fund', 'venture capital', 'companies']"
35,2006,0.0,243.0,"['music', 'zune', 'itunes', 'songs', 'player', 'ipod', 'apple', 'song', 'users', 'video']"
36,2006,1.0,425.0,"['phone', 'phones', 'camera', 'skype', 'sprint', 'cell', 'samsung', 'verizon', 'service', 'call']"
37,2006,2.0,390.0,"['games', 'wii', 'game', 'sony', 'playstation', 'xbox', 'controller', 'console', 'psp', 'consoles']"
38,2006,3.0,381.0,"['video', 'google', 'youtube', 'tv', 'site', 'search', 'videos', 'service', 'users', 'content']"
39,2006,4.0,2397.0,"['product', 're', 'you', 'product page', 'apple', 'ipod', 'page', 'drive', 'we', 'time']"
40,2006,5.0,757.0,"['venture', 'company', 'capital', 'companies', 'firm', 'venture capital', 'fund', 'valley', 'partners', 'investors']"
41,2006,6.0,1230.0,"['site', 'users', 'service', 'search', 'people', 'company', 'web', 'blog', 'page', 'time']"
42,2006,7.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
43,2006,8.0,253.0,"['round', 'ventures', 'partners', 'funding', 'capital', 'company', 'venture', 'venture partners', 'round funding', 'series']"
44,2006,0.0,257.0,"['search', 'google', 'results', 'engine', 'search engine', 'yahoo', 'site', 'company', 'blog', 'users']"
45,2006,1.0,312.0,"['zune', 'apple', 'ipod', 'music', 'itunes', 'player', 'dock', 'nano', 'macbook', 'device']"
46,2006,2.0,2129.0,"['re', 'you', 'product', 'product page', 'page', 'you re', 'time', 'drive', 'we', 'camera']"
47,2006,3.0,258.0,"['games', 'xbox', 'playstation', 'game', 'sony', 'dvd', 'hd', 'wii', 'console', 'hd dvd']"
48,2006,4.0,900.0,"['company', 'companies', 'year', 'valley', 'venture', 'story', 'business', 'people', 'market', 'news']"
49,2006,5.0,954.0,"['users', 'site', 'service', 'people', 'company', 'music', 'services', 'page', 'web', 'time']"
50,2006,6.0,587.0,"['venture', 'capital', 'company', 'partners', 'ventures', 'round', 'venture capital', 'fund', 'funding', 'firm']"
51,2006,7.0,93.0,"['story', 'story story', 'fraud carry', 'fraud', 'fraud abuse', 'fraud accounts', 'fraud action', 'fraud ads', 'fraud advertisers', 'fraud allegations']"
52,2006,8.0,371.0,"['phone', 'phones', 'camera', 'skype', 'samsung', 'cell', 'call', 'service', 'smartphone', 'cell phone']"
53,2006,9.0,308.0,"['video', 'youtube', 'tv', 'videos', 'site', 'content', 'users', 'google', 'media', 'service']"
54,2007,0.0,2576.0,"['company', 'capital', 'venture', 'round', 'ventures', 'partners', 'companies', 'investors', 'funding', 'technology']"
55,2007,1.0,13155.0,"['phone', 'apple', 'users', 'video', 'site', 'music', 'service', 'time', 'iphone', 'people']"
56,2007,0.0,12965.0,"['phone', 'apple', 'users', 'video', 'music', 'iphone', 'site', 'time', 'service', 'people']"
57,2007,1.0,2621.0,"['company', 'capital', 'venture', 'round', 'ventures', 'partners', 'companies', 'investors', 'funding', 'technology']"
58,2007,2.0,145.0,"['story', 'life sciences', 'venturebeat life', 'sciences', 'venturebeat', 'briefing', 'briefing venturebeat', 'life', 'story venturebeat', 'calif']"
59,2007,0.0,3514.0,"['google', 'users', 'site', 'company', 'facebook', 'service', 'search', 'people', 'video', 'sites']"
60,2007,1.0,9347.0,"['phone', 'you', 'game', 'time', 're', 'video', 'll', 'games', 'product', 'way']"
61,2007,2.0,1087.0,"['apple', 'iphone', 'music', 'itunes', 'ipod', 'store', 'apple tv', 'tv', 'phone', 'songs']"
62,2007,3.0,1783.0,"['company', 'story', 'capital', 'round', 'ventures', 'venture', 'partners', 'funding', 'investors', 'companies']"
63,2007,0.0,3579.0,"['users', 'google', 'site', 'company', 'service', 'facebook', 'search', 'people', 'video', 'sites']"
64,2007,1.0,145.0,"['story', 'life sciences', 'venturebeat life', 'sciences', 'venturebeat', 'briefing', 'briefing venturebeat', 'life', 'story venturebeat', 'calif']"
65,2007,2.0,965.0,"['apple', 'iphone', 'itunes', 'music', 'apple tv', 'ipod', 'store', 'tv', 'phone', 'jobs']"
66,2007,3.0,9257.0,"['phone', 'you', 'game', 'time', 're', 'll', 'video', 'music', 'games', 'product']"
67,2007,4.0,1785.0,"['company', 'capital', 'round', 'venture', 'ventures', 'partners', 'investors', 'funding', 'companies', 'fund']"
68,2007,0.0,1097.0,"['apple', 'iphone', 'music', 'itunes', 'ipod', 'store', 'apple tv', 'tv', 'phone', 'songs']"
69,2007,1.0,145.0,"['story', 'life sciences', 'venturebeat life', 'sciences', 'venturebeat', 'briefing', 'briefing venturebeat', 'life', 'story venturebeat', 'calif']"
70,2007,2.0,1857.0,"['company', 'capital', 'round', 'venture', 'ventures', 'partners', 'investors', 'funding', 'companies', 'fund']"
71,2007,3.0,185.0,"['dvd', 'ray', 'hd', 'blu', 'blu ray', 'hd dvd', 'player', 'dvd player', 'ray hd', 'discs']"
72,2007,4.0,9309.0,"['phone', 'you', 'game', 'time', 're', 'll', 'video', 'games', 'product', 'way']"
73,2007,5.0,3138.0,"['google', 'users', 'site', 'facebook', 'company', 'search', 'service', 'people', 'video', 'sites']"
74,2007,0.0,3130.0,"['google', 'users', 'site', 'facebook', 'company', 'service', 'search', 'people', 'video', 'sites']"
75,2007,1.0,910.0,"['apple', 'iphone', 'life sciences', 'venturebeat life', 'sciences', 'apple tv', 'story', 'life', 'venturebeat', 'briefing']"
76,2007,2.0,705.0,"['music', 'dvd', 'ray', 'hd', 'player', 'songs', 'blu', 'blu ray', 'itunes', 'hd dvd']"
