,Year,Cluster,Size,Features
0,2013,0,23659,"['data', 'users', 'google', 'apple', 'people', 'companies', 'service', 'app', 'year', 'facebook']"
1,2013,1,3609,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
2,2013,0,3017,"['apple', 'iphone', 'phone', 'quarter', 'devices', 'samsung', 'windows', 'percent', 'year', 'device']"
3,2013,1,20673,"['data', 'users', 'google', 'people', 'companies', 'service', 'app', 'facebook', 'business', 'year']"
4,2013,2,3578,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
5,2013,0,4609,"['google', 'facebook', 'users', 'app', 'twitter', 'search', 'ads', 'glass', 'ad', 'people']"
6,2013,1,17819,"['data', 'companies', 'people', 'service', 'year', 'business', 'technology', 'users', 'customers', 'market']"
7,2013,2,3537,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'gamesbeat', 'developers', 'pc']"
8,2013,3,1303,"['apple', 'iphone', 'ios', 'ipad', 'cook', 'market', 'quarter', 'percent', 'samsung', 'devices']"
9,2013,0,4865,"['data', 'companies', 'capital', 'funding', 'round', 'investors', 'business', 'startups', 'ventures', 'health']"
10,2013,1,3382,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
11,2013,2,1288,"['apple', 'iphone', 'ios', 'ipad', 'cook', 'market', 'quarter', 'percent', 'devices', 'samsung']"
12,2013,3,15636,"['users', 'people', 'app', 'service', 'year', 'video', 'twitter', 'phone', 'way', 'devices']"
13,2013,4,2097,"['google', 'facebook', 'glass', 'search', 'users', 'ads', 'app', 'data', 'people', 'ad']"
14,2013,0,15424,"['users', 'people', 'app', 'service', 'year', 'video', 'phone', 'way', 'devices', 'twitter']"
15,2013,1,1121,"['facebook', 'ads', 'ad', 'twitter', 'users', 'advertising', 'search', 'advertisers', 'people', 'feed']"
16,2013,2,4715,"['data', 'companies', 'capital', 'funding', 'round', 'business', 'investors', 'startups', 'ventures', 'health']"
17,2013,3,3340,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
18,2013,4,1381,"['google', 'glass', 'search', 'google glass', 'users', 'maps', 'app', 'reader', 'data', 'developers']"
19,2013,5,1287,"['apple', 'iphone', 'ios', 'ipad', 'cook', 'market', 'quarter', 'percent', 'devices', 'samsung']"
20,2013,0,13095,"['users', 'people', 'app', 'service', 'video', 'way', 'year', 'site', 'music', 're']"
21,2013,1,3253,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
22,2013,2,1131,"['apple', 'iphone', 'ios', 'cook', 'ipad', 'store', 'devices', 'quarter', 'market', 'year']"
23,2013,3,4876,"['data', 'companies', 'capital', 'funding', 'round', 'business', 'investors', 'ventures', 'startups', 'customers']"
24,2013,4,1337,"['google', 'glass', 'search', 'users', 'google glass', 'maps', 'app', 'reader', 'data', 'developers']"
25,2013,5,1540,"['facebook', 'twitter', 'ads', 'ad', 'users', 'people', 'advertising', 'search', 'advertisers', 'data']"
26,2013,6,2036,"['phone', 'windows', 'quarter', 'devices', 'samsung', 'blackberry', 'percent', 'year', 'smartphone', 'device']"
27,2013,0,1129,"['apple', 'iphone', 'ios', 'cook', 'ipad', 'devices', 'quarter', 'store', 'market', 'year']"
28,2013,1,3240,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
29,2013,2,1289,"['google', 'glass', 'search', 'google glass', 'maps', 'users', 'reader', 'app', 'developers', 'apps']"
30,2013,3,13608,"['users', 'people', 'app', 'service', 'video', 'twitter', 'way', 'year', 'site', 'music']"
31,2013,4,2045,"['phone', 'windows', 'quarter', 'devices', 'samsung', 'blackberry', 'percent', 'year', 'smartphone', 'device']"
32,2013,5,1792,"['data', 'health', 'cloud', 'companies', 'services', 'information', 'analytics', 'customers', 'technology', 'service']"
33,2013,6,3246,"['capital', 'funding', 'companies', 'round', 'investors', 'ventures', 'startups', 'venture', 'startup', 'investment']"
34,2013,7,919,"['facebook', 'ads', 'ad', 'users', 'search', 'twitter', 'feed', 'home', 'people', 'advertising']"
35,2013,0,1074,"['apple', 'iphone', 'ios', 'cook', 'ipad', 'quarter', 'devices', 'market', 'store', 'year']"
36,2013,1,12451,"['users', 'people', 'app', 'service', 'video', 'way', 'year', 'site', 'music', 'business']"
37,2013,2,1140,"['games', 'game', 'developers', 'players', 'play', 'zynga', 'titles', 'gamesbeat', 'gamers', 'industry']"
38,2013,3,1491,"['facebook', 'twitter', 'ads', 'ad', 'users', 'advertising', 'people', 'search', 'advertisers', 'feed']"
39,2013,4,1814,"['data', 'cloud', 'companies', 'customers', 'services', 'service', 'analytics', 'software', 'security', 'information']"
40,2013,5,1253,"['google', 'glass', 'search', 'google glass', 'maps', 'users', 'reader', 'app', 'developers', 'apps']"
41,2013,6,2511,"['game', 'games', 'playstation', 'xbox', 'players', 'gamers', 'sony', 'pc', 'world', 'developer']"
42,2013,7,2009,"['phone', 'windows', 'devices', 'quarter', 'samsung', 'blackberry', 'percent', 'smartphone', 'device', 'year']"
43,2013,8,3525,"['capital', 'funding', 'companies', 'investors', 'round', 'startups', 'ventures', 'venture', 'startup', 'health']"
44,2013,0,485,"['students', 'gillmor', 'education', 'teachers', 'schools', 'college', 'school', 'courses', 'student', 'gillmor gang']"
45,2013,1,1903,"['data', 'cloud', 'companies', 'customers', 'services', 'service', 'security', 'analytics', 'software', 'business']"
46,2013,2,1114,"['apple', 'iphone', 'ios', 'cook', 'ipad', 'devices', 'quarter', 'store', 'market', 'year']"
47,2013,3,1248,"['google', 'glass', 'search', 'google glass', 'maps', 'users', 'reader', 'app', 'developers', 'apps']"
48,2013,4,343,"['health', 'care', 'patients', 'doctors', 'health care', 'insurance', 'healthcare', 'data', 'patient', 'fusion']"
49,2013,5,2723,"['capital', 'funding', 'round', 'investors', 'companies', 'ventures', 'startups', 'venture', 'startup', 'investment']"
50,2013,6,3183,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'developers', 'gamesbeat', 'pc']"
51,2013,7,12991,"['users', 'people', 'app', 'service', 'video', 'way', 'year', 'site', 'business', 'companies']"
52,2013,8,1486,"['facebook', 'twitter', 'ads', 'ad', 'users', 'advertising', 'people', 'search', 'advertisers', 'feed']"
53,2013,9,1792,"['phone', 'windows', 'quarter', 'samsung', 'blackberry', 'devices', 'percent', 'year', 'smartphone', 'market']"
